order_id,customer_id,order_date,status,payment_method,shipping_city,shipping_state
ORD00028,C0642,2022-07-05,Delivered,UPI,Vadodara,Gujarat
ORD00029,C0638,2022-09-17,Delivered,Credit Card,New Delhi,Delhi
ORD00030,C0827,2022-01-06,Delivered,Credit Card,Gandhinagar,Gujarat
ORD00031,C0676,2023-05-03,Delivered,Credit Card,Saket,Delhi
ORD00032,C0007,2022-09-08,Cancelled,UPI,Ujjain,Madhya Pradesh
ORD00033,C0051,2022-07-09,Delivered,Debit Card,Warangal,Telangana
ORD00034,C0875,2022-02-03,Delivered,Net Banking,Pune,Maharashtra
ORD00035,C0943,2022-03-31,Delivered,Credit Card,Agra,Uttar Pradesh
ORD00036,C0689,2022-10-19,Delivered,Debit Card,Coimbatore,Tamil Nadu
ORD00037,C0807,2023-07-30,Delivered,Credit Card,Ujjain,Madhya Pradesh
ORD00038,C0954,2022-02-06,Delivered,UPI,Gwalior,Madhya Pradesh
ORD00039,C0840,2022-03-11,Returned,Net Banking,Asansol,West Bengal
ORD00040,C0483,2022-05-18,Delivered,Net Banking,Mangaluru,Karnataka
ORD00041,C0424,2023-06-22,Delivered,UPI,Siliguri,West Bengal
ORD00042,C0586,2023-10-07,Delivered,UPI,Mumbai,Maharashtra
ORD00043,C0438,2023-09-16,Cancelled,UPI,Gwalior,Madhya Pradesh
ORD00044,C0363,2022-05-13,Delivered,Credit Card,Ujjain,Madhya Pradesh
ORD00045,C0828,2022-07-04,Cancelled,UPI,Rajkot,Gujarat
ORD00046,C0002,2022-05-02,Delivered,Debit Card,Kanpur,Uttar Pradesh
ORD00047,C0819,2023-09-23,Pending,Credit Card,Mysuru,Karnataka
ORD00048,C0574,2023-10-15,Delivered,Debit Card,Durgapur,West Bengal
ORD00049,C0810,2022-03-11,Delivered,Credit Card,Agra,Uttar Pradesh
ORD00050,C0117,2023-12-04,Delivered,Credit Card,Kolkata,West Bengal
ORD00051,C0984,2022-01-30,Cancelled,UPI,Ujjain,Madhya Pradesh
ORD00052,C0939,2023-05-01,Returned,Debit Card,Asansol,West Bengal
ORD00053,C0643,2023-04-17,Cancelled,Credit Card,Surat,Gujarat
ORD00054,C0803,2023-02-28,Pending,UPI,Asansol,West Bengal
ORD00055,C0579,2023-11-26,Delivered,Credit Card,Nizamabad,Telangana
ORD00056,C0702,2022-12-06,Returned,Net Banking,Saket,Delhi
ORD00057,C0993,2022-06-02,Delivered,UPI,Kolkata,West Bengal
ORD00058,C0863,2022-06-19,Delivered,Credit Card,Ajmer,Rajasthan
ORD00059,C0886,2022-11-12,Returned,UPI,Bhopal,Madhya Pradesh
ORD00060,C0424,2022-03-30,Delivered,UPI,Nagpur,Maharashtra
ORD00061,C0222,2023-06-22,Delivered,UPI,Vadodara,Gujarat
ORD00062,C0936,2022-04-05,Delivered,UPI,Pune,Maharashtra
ORD00063,C0158,2022-07-14,Delivered,Credit Card,Gandhinagar,Gujarat
ORD00064,C0795,2022-12-02,Delivered,Net Banking,Nizamabad,Telangana
ORD00065,C0211,2022-02-07,Delivered,Debit Card,Warangal,Telangana
ORD00066,C0005,2022-11-15,Pending,Debit Card,Hyderabad,Telangana
ORD00067,C0342,2023-04-24,Cancelled,UPI,Bhopal,Madhya Pradesh
ORD00068,C0592,2022-11-16,Delivered,UPI,Lucknow,Uttar Pradesh
ORD00069,C0294,2022-10-11,Delivered,Debit Card,Dwarka,Delhi
ORD00070,C0153,2022-06-11,Delivered,UPI,Mangaluru,Karnataka
ORD00071,C0527,2022-04-15,Delivered,Credit Card,Ujjain,Madhya Pradesh
ORD00072,C0145,2023-12-23,Cancelled,Credit Card,Durgapur,West Bengal
ORD00073,C0319,2023-09-20,Cancelled,Credit Card,Chennai,Tamil Nadu
ORD00074,C0030,2023-04-28,Pending,UPI,Pune,Maharashtra
ORD00075,C0089,2023-03-13,Delivered,Debit Card,Jaipur,Rajasthan
ORD00076,C0632,2022-12-31,Delivered,Net Banking,Jabalpur,Madhya Pradesh
ORD00077,C0998,2023-04-22,Delivered,UPI,Hyderabad,Telangana
ORD00078,C0467,2022-11-14,Delivered,Debit Card,Ahmedabad,Gujarat
ORD00079,C0238,2022-08-18,Delivered,Net Banking,Rajkot,Gujarat
ORD00080,C0402,2022-07-07,Delivered,Debit Card,Agra,Uttar Pradesh
ORD00081,C0500,2022-01-31,Delivered,UPI,Asansol,West Bengal
ORD00082,C0867,2022-06-24,Delivered,UPI,Rajkot,Gujarat
ORD00083,C0521,2022-04-16,Delivered,Debit Card,Indore,Madhya Pradesh
ORD00084,C0570,2023-10-28,Delivered,UPI,Mangaluru,Karnataka
ORD00085,C0605,2023-02-28,Delivered,UPI,Rajkot,Gujarat
ORD00086,C0394,2022-03-09,Delivered,Net Banking,Salem,Tamil Nadu
ORD00087,C0804,2023-03-22,Delivered,UPI,Jabalpur,Madhya Pradesh
ORD00088,C0679,2023-11-17,Delivered,COD,Dwarka,Delhi
ORD00089,C0118,2023-08-30,Delivered,UPI,Jabalpur,Madhya Pradesh
ORD00090,C0181,2022-11-12,Pending,UPI,Hubballi,Karnataka
ORD00091,C0790,2023-01-24,Delivered,Debit Card,Belagavi,Karnataka
ORD00092,C0223,2022-05-23,Cancelled,COD,Mumbai,Maharashtra
ORD00093,C0677,2022-06-02,Delivered,UPI,Pune,Maharashtra
ORD00094,C0458,2022-07-20,Delivered,Net Banking,Ujjain,Madhya Pradesh
ORD00095,C0814,2023-11-27,Delivered,COD,Noida,Uttar Pradesh
ORD00096,C0092,2023-08-20,Delivered,COD,Udaipur,Rajasthan
ORD00097,C0873,2022-10-29,Delivered,COD,Jodhpur,Rajasthan
ORD00098,C0721,2023-07-28,Cancelled,Credit Card,Mumbai,Maharashtra
ORD00099,C0241,2023-03-19,Returned,Credit Card,Lucknow,Uttar Pradesh
ORD00100,C0416,2023-01-26,Delivered,UPI,Asansol,West Bengal
ORD00101,C0143,2022-07-12,Delivered,Net Banking,Salem,Tamil Nadu
ORD00102,C0158,2022-10-23,Pending,Debit Card,Asansol,West Bengal
ORD00103,C0074,2023-10-26,Delivered,Debit Card,Chennai,Tamil Nadu
ORD00104,C0999,2022-05-20,Delivered,Debit Card,Rajkot,Gujarat
ORD00105,C0916,2023-12-14,Delivered,Credit Card,Kota,Rajasthan
ORD00106,C0522,2023-03-11,Delivered,Credit Card,Salem,Tamil Nadu
ORD00107,C0191,2023-03-11,Delivered,Credit Card,Howrah,West Bengal
ORD00108,C0276,2023-02-25,Pending,Credit Card,Saket,Delhi
ORD00109,C0582,2023-05-10,Returned,UPI,Mumbai,Maharashtra
ORD00110,C0146,2023-06-24,Pending,COD,Ahmedabad,Gujarat
ORD00111,C0530,2022-03-22,Delivered,Debit Card,Varanasi,Uttar Pradesh
ORD00112,C0646,2023-11-11,Pending,UPI,Janakpuri,Delhi
ORD00113,C0320,2023-09-20,Delivered,UPI,Khammam,Telangana
ORD00114,C0465,2023-06-09,Pending,Credit Card,Nashik,Maharashtra
ORD00115,C0362,2022-10-29,Delivered,UPI,Asansol,West Bengal
ORD00116,C0745,2023-08-01,Delivered,Debit Card,Gwalior,Madhya Pradesh
ORD00117,C0587,2022-02-22,Delivered,UPI,Indore,Madhya Pradesh
ORD00118,C0294,2023-05-12,Delivered,Credit Card,Bhopal,Madhya Pradesh
ORD00119,C0136,2023-09-23,Delivered,Net Banking,Agra,Uttar Pradesh
ORD00120,C0619,2022-06-28,Pending,Debit Card,Mumbai,Maharashtra
ORD00121,C0828,2022-06-29,Delivered,Debit Card,Vadodara,Gujarat
ORD00122,C0819,2023-06-25,Cancelled,UPI,Surat,Gujarat
ORD00123,C0610,2022-06-07,Cancelled,Debit Card,Mysuru,Karnataka
ORD00124,C0244,2023-11-08,Delivered,Debit Card,Kota,Rajasthan
ORD00125,C0752,2022-12-20,Delivered,UPI,Saket,Delhi
ORD00126,C0172,2023-04-21,Delivered,UPI,Bengaluru,Karnataka
ORD00127,C0389,2023-12-01,Returned,Credit Card,Warangal,Telangana
ORD00128,C0892,2023-03-22,Delivered,COD,Tiruchirappalli,Tamil Nadu
ORD00129,C0695,2022-11-20,Pending,Debit Card,Rajkot,Gujarat
ORD00130,C0940,2023-06-29,Delivered,COD,Mumbai,Maharashtra
ORD00131,C0941,2023-10-30,Cancelled,UPI,Ajmer,Rajasthan
ORD00132,C0262,2023-11-02,Delivered,Credit Card,Lucknow,Uttar Pradesh
ORD00133,C0789,2022-07-19,Delivered,Debit Card,Saket,Delhi
ORD00134,C0561,2022-01-11,Delivered,Net Banking,Madurai,Tamil Nadu
ORD00135,C0101,2023-06-22,Delivered,Credit Card,Nashik,Maharashtra
ORD00136,C0258,2022-07-17,Delivered,Debit Card,Rohini,Delhi
ORD00137,C0673,2022-08-11,Pending,Debit Card,Aurangabad,Maharashtra
ORD00138,C0877,2023-09-12,Delivered,Debit Card,Bengaluru,Karnataka
ORD00139,C0918,2022-04-24,Delivered,UPI,Indore,Madhya Pradesh
ORD00140,C0655,2023-04-10,Pending,UPI,Ahmedabad,Gujarat
ORD00141,C0264,2022-06-15,Returned,UPI,Udaipur,Rajasthan
ORD00142,C0398,2022-12-07,Pending,UPI,Nashik,Maharashtra
ORD00143,C0452,2022-03-13,Delivered,COD,Kanpur,Uttar Pradesh
ORD00144,C0183,2023-10-23,Delivered,UPI,Jabalpur,Madhya Pradesh
ORD00145,C0629,2023-10-21,Delivered,Credit Card,Jodhpur,Rajasthan
ORD00146,C0036,2022-03-16,Delivered,Debit Card,Lucknow,Uttar Pradesh
ORD00147,C0919,2023-05-25,Delivered,Debit Card,Ahmedabad,Gujarat
ORD00148,C0273,2022-06-05,Returned,COD,Nashik,Maharashtra
ORD00149,C0528,2023-12-26,Pending,Credit Card,Bhopal,Madhya Pradesh
ORD00150,C0865,2022-03-13,Delivered,UPI,Kota,Rajasthan
ORD00151,C0581,2023-07-03,Pending,Credit Card,Ahmedabad,Gujarat
ORD00152,C0057,2023-10-10,Pending,Debit Card,Varanasi,Uttar Pradesh
ORD00153,C0874,2022-12-15,Delivered,Credit Card,Siliguri,West Bengal
ORD00154,C0181,2023-07-22,Delivered,Credit Card,Kanpur,Uttar Pradesh
ORD00155,C0713,2023-02-04,Cancelled,Debit Card,Rohini,Delhi
ORD00156,C0087,2023-10-10,Delivered,UPI,Asansol,West Bengal
ORD00157,C0026,2023-08-31,Delivered,Credit Card,Pune,Maharashtra
ORD00158,C0512,2023-07-01,Pending,Net Banking,Nizamabad,Telangana
ORD00159,C0348,2022-02-27,Delivered,Debit Card,Mumbai,Maharashtra
ORD00160,C0217,2023-11-01,Delivered,Credit Card,Jaipur,Rajasthan
ORD00161,C0759,2023-08-17,Delivered,UPI,Warangal,Telangana
ORD00162,C0670,2022-01-20,Delivered,COD,Salem,Tamil Nadu
ORD00163,C0719,2023-10-27,Delivered,UPI,Pune,Maharashtra
ORD00164,C0841,2022-04-10,Delivered,UPI,Nagpur,Maharashtra
ORD00165,C0838,2022-04-19,Delivered,Credit Card,Bhopal,Madhya Pradesh
ORD00166,C0065,2022-07-27,Delivered,Net Banking,Indore,Madhya Pradesh
ORD00167,C0124,2023-12-02,Delivered,UPI,Udaipur,Rajasthan
ORD00168,C0608,2022-06-27,Delivered,UPI,New Delhi,Delhi
ORD00169,C0173,2023-12-15,Delivered,UPI,Salem,Tamil Nadu
ORD00170,C0042,2022-05-17,Delivered,Net Banking,Saket,Delhi
ORD00171,C0797,2022-06-11,Delivered,Credit Card,Jabalpur,Madhya Pradesh
ORD00172,C0184,2022-04-02,Returned,Credit Card,Mumbai,Maharashtra
ORD00173,C0711,2023-05-03,Delivered,UPI,Varanasi,Uttar Pradesh
ORD00174,C0462,2023-02-26,Delivered,UPI,Noida,Uttar Pradesh
ORD00175,C0185,2023-05-27,Delivered,UPI,Aurangabad,Maharashtra
ORD00176,C0429,2022-01-05,Delivered,UPI,Agra,Uttar Pradesh
ORD00177,C0634,2023-01-06,Cancelled,COD,Hyderabad,Telangana
ORD00178,C0476,2023-10-04,Delivered,UPI,Warangal,Telangana
ORD00179,C0816,2022-06-02,Delivered,COD,New Delhi,Delhi
ORD00180,C0181,2022-06-13,Delivered,UPI,Rajkot,Gujarat
ORD00181,C0215,2023-03-22,Delivered,Debit Card,Durgapur,West Bengal
ORD00182,C0107,2022-02-23,Pending,UPI,Ahmedabad,Gujarat
ORD00183,C0528,2022-04-29,Delivered,UPI,Nashik,Maharashtra
ORD00184,C0594,2022-11-30,Delivered,Debit Card,Gandhinagar,Gujarat
ORD00185,C0798,2022-04-23,Delivered,UPI,Howrah,West Bengal
ORD00186,C0385,2022-08-14,Delivered,Credit Card,Jodhpur,Rajasthan
ORD00187,C0149,2022-08-10,Pending,Credit Card,Nashik,Maharashtra
ORD00188,C0140,2023-04-14,Returned,Debit Card,Udaipur,Rajasthan
ORD00189,C0344,2022-05-11,Delivered,Credit Card,Kanpur,Uttar Pradesh
ORD00190,C0114,2023-04-22,Delivered,UPI,Kanpur,Uttar Pradesh
ORD00191,C0908,2022-10-30,Delivered,Debit Card,Howrah,West Bengal
ORD00192,C0592,2023-07-21,Cancelled,UPI,Indore,Madhya Pradesh
ORD00193,C0883,2022-08-10,Delivered,Net Banking,Karimnagar,Telangana
ORD00194,C0748,2023-03-15,Returned,UPI,Lucknow,Uttar Pradesh
ORD00195,C0594,2022-08-16,Cancelled,Credit Card,Asansol,West Bengal
ORD00196,C0920,2022-01-06,Delivered,UPI,Tiruchirappalli,Tamil Nadu
ORD00197,C0035,2023-03-12,Delivered,Credit Card,Gandhinagar,Gujarat
ORD00198,C0508,2022-09-04,Delivered,Debit Card,Hubballi,Karnataka
ORD00199,C0136,2023-01-03,Delivered,Debit Card,Jodhpur,Rajasthan
ORD00200,C0492,2023-11-17,Delivered,Debit Card,Bengaluru,Karnataka
ORD00201,C0025,2023-04-11,Delivered,UPI,Ujjain,Madhya Pradesh
ORD00202,C0809,2023-01-15,Delivered,Debit Card,Jodhpur,Rajasthan
ORD00203,C0395,2023-12-09,Delivered,UPI,Mumbai,Maharashtra
ORD00204,C0715,2023-09-20,Delivered,Debit Card,Udaipur,Rajasthan
ORD00205,C0902,2022-12-10,Returned,UPI,Belagavi,Karnataka
ORD00206,C0114,2023-01-28,Delivered,Debit Card,Kolkata,West Bengal
ORD00207,C0180,2023-10-26,Delivered,UPI,Durgapur,West Bengal
ORD00208,C0343,2022-09-02,Delivered,Debit Card,Dwarka,Delhi
ORD00209,C0772,2022-08-19,Delivered,Net Banking,Indore,Madhya Pradesh
ORD00210,C0284,2022-02-25,Delivered,UPI,Karimnagar,Telangana
ORD00211,C0540,2022-05-06,Delivered,Credit Card,Gandhinagar,Gujarat
ORD00212,C0463,2023-09-28,Delivered,Debit Card,Nizamabad,Telangana
ORD00213,C0914,2023-04-14,Delivered,Credit Card,Mysuru,Karnataka
ORD00214,C0982,2022-03-20,Delivered,UPI,Madurai,Tamil Nadu
ORD00215,C0155,2022-07-29,Delivered,Debit Card,Salem,Tamil Nadu
ORD00216,C0993,2023-11-30,Delivered,UPI,Varanasi,Uttar Pradesh
ORD00217,C0455,2023-10-23,Delivered,UPI,Asansol,West Bengal
ORD00218,C0855,2023-06-17,Delivered,Credit Card,Pune,Maharashtra
ORD00219,C0498,2023-08-31,Delivered,Credit Card,Durgapur,West Bengal
ORD00220,C0469,2022-11-08,Delivered,Net Banking,Karimnagar,Telangana
ORD00221,C0809,2022-09-24,Delivered,Credit Card,Kanpur,Uttar Pradesh
ORD00222,C0152,2022-12-28,Delivered,COD,Lucknow,Uttar Pradesh
ORD00223,C0729,2023-07-03,Delivered,COD,Indore,Madhya Pradesh
ORD00224,C0244,2022-04-30,Delivered,UPI,Coimbatore,Tamil Nadu
ORD00225,C0267,2023-01-14,Delivered,Credit Card,Salem,Tamil Nadu
ORD00226,C0353,2022-06-01,Delivered,Credit Card,Nagpur,Maharashtra
ORD00227,C0309,2022-05-05,Pending,Credit Card,Tiruchirappalli,Tamil Nadu
ORD00228,C0971,2023-04-15,Pending,UPI,Surat,Gujarat
ORD00229,C0340,2023-10-25,Returned,Credit Card,Khammam,Telangana
ORD00230,C0683,2022-05-31,Returned,Debit Card,Noida,Uttar Pradesh
ORD00231,C0706,2022-04-26,Returned,COD,Vadodara,Gujarat
ORD00232,C0120,2022-11-12,Delivered,Debit Card,Tiruchirappalli,Tamil Nadu
ORD00233,C0366,2022-04-05,Delivered,Debit Card,Janakpuri,Delhi
ORD00234,C0540,2022-08-16,Returned,Debit Card,Saket,Delhi
ORD00235,C0086,2023-07-06,Cancelled,Debit Card,New Delhi,Delhi
ORD00236,C0404,2022-07-19,Delivered,Debit Card,Belagavi,Karnataka
ORD00237,C0931,2023-11-14,Delivered,UPI,Hyderabad,Telangana
ORD00238,C0396,2023-01-17,Delivered,UPI,Udaipur,Rajasthan
ORD00239,C0896,2023-07-29,Delivered,Debit Card,Varanasi,Uttar Pradesh
ORD00240,C0823,2023-03-30,Delivered,Net Banking,Rajkot,Gujarat
ORD00241,C0143,2023-08-25,Delivered,UPI,Kota,Rajasthan
ORD00242,C0889,2023-06-22,Pending,UPI,Varanasi,Uttar Pradesh
ORD00243,C0091,2022-01-07,Delivered,COD,Jabalpur,Madhya Pradesh
ORD00244,C0570,2023-04-19,Returned,Debit Card,Jodhpur,Rajasthan
ORD00245,C0191,2023-01-26,Delivered,Credit Card,Coimbatore,Tamil Nadu
ORD00246,C0312,2023-05-21,Delivered,Credit Card,Noida,Uttar Pradesh
ORD00247,C0158,2022-09-26,Delivered,Debit Card,Mumbai,Maharashtra
ORD00248,C0670,2023-11-13,Cancelled,Credit Card,Ahmedabad,Gujarat
ORD00249,C0030,2022-05-03,Returned,Credit Card,Surat,Gujarat
ORD00250,C0764,2023-01-06,Delivered,Credit Card,Belagavi,Karnataka
ORD00251,C0998,2023-12-12,Cancelled,Credit Card,Varanasi,Uttar Pradesh
ORD00252,C0866,2022-09-23,Delivered,UPI,Bhopal,Madhya Pradesh
ORD00253,C0900,2023-12-11,Delivered,UPI,Asansol,West Bengal
ORD00254,C0430,2023-10-14,Pending,Credit Card,Agra,Uttar Pradesh
ORD00255,C0543,2023-10-17,Pending,Credit Card,Agra,Uttar Pradesh
ORD00256,C0614,2022-06-21,Delivered,Net Banking,Chennai,Tamil Nadu
ORD00257,C0702,2023-12-16,Delivered,UPI,Agra,Uttar Pradesh
ORD00258,C0844,2022-05-28,Delivered,Credit Card,Gwalior,Madhya Pradesh
ORD00259,C0422,2022-12-15,Pending,UPI,Asansol,West Bengal
ORD00260,C0516,2022-08-15,Cancelled,Debit Card,Dwarka,Delhi
ORD00261,C0707,2023-06-23,Cancelled,Debit Card,Khammam,Telangana
ORD00262,C0472,2022-03-20,Delivered,UPI,Hubballi,Karnataka
ORD00263,C0357,2022-11-16,Delivered,UPI,Nashik,Maharashtra
ORD00264,C0536,2022-12-17,Delivered,UPI,Gandhinagar,Gujarat
ORD00265,C0132,2023-12-12,Delivered,UPI,Mysuru,Karnataka
ORD00266,C0134,2022-03-22,Delivered,Debit Card,Coimbatore,Tamil Nadu
ORD00267,C0020,2023-05-11,Returned,UPI,Bengaluru,Karnataka
ORD00268,C0813,2023-11-07,Delivered,UPI,Bengaluru,Karnataka
ORD00269,C0045,2022-03-09,Delivered,UPI,Mangaluru,Karnataka
ORD00270,C0943,2023-09-09,Delivered,COD,Bengaluru,Karnataka
ORD00271,C0030,2022-04-03,Delivered,Debit Card,Madurai,Tamil Nadu
ORD00272,C0357,2022-12-27,Delivered,Credit Card,Noida,Uttar Pradesh
ORD00273,C0518,2023-08-07,Delivered,Net Banking,Indore,Madhya Pradesh
ORD00274,C0223,2022-07-16,Pending,UPI,Aurangabad,Maharashtra
ORD00275,C0997,2022-04-12,Pending,COD,Hyderabad,Telangana
ORD00276,C0715,2023-08-27,Delivered,Debit Card,Vadodara,Gujarat
ORD00277,C0855,2022-12-30,Pending,Credit Card,Mysuru,Karnataka
ORD00278,C0418,2022-04-26,Returned,UPI,Warangal,Telangana
ORD00279,C0533,2022-05-20,Delivered,Credit Card,Ahmedabad,Gujarat
ORD00280,C0740,2022-02-11,Delivered,Credit Card,Noida,Uttar Pradesh
ORD00281,C0468,2023-09-07,Returned,Debit Card,Udaipur,Rajasthan
ORD00282,C0568,2023-02-22,Delivered,Net Banking,Surat,Gujarat
ORD00283,C0917,2023-05-03,Pending,Credit Card,New Delhi,Delhi
ORD00284,C0689,2022-04-18,Delivered,Credit Card,Nashik,Maharashtra
ORD00285,C0147,2023-02-09,Delivered,Credit Card,Bengaluru,Karnataka
ORD00286,C0067,2023-01-08,Pending,UPI,Mysuru,Karnataka
ORD00287,C0126,2022-08-27,Cancelled,Debit Card,Jabalpur,Madhya Pradesh
ORD00288,C0608,2022-10-07,Returned,Net Banking,Noida,Uttar Pradesh
ORD00289,C0488,2023-11-14,Delivered,Credit Card,Udaipur,Rajasthan
ORD00290,C0286,2022-05-31,Returned,UPI,Gandhinagar,Gujarat
ORD00291,C0510,2022-08-25,Delivered,UPI,Varanasi,Uttar Pradesh
ORD00292,C0851,2022-03-11,Delivered,UPI,Bengaluru,Karnataka
ORD00293,C0620,2023-11-27,Delivered,UPI,Salem,Tamil Nadu
ORD00294,C0779,2022-03-20,Delivered,Credit Card,Bhopal,Madhya Pradesh
ORD00295,C0207,2022-10-28,Delivered,Credit Card,Rajkot,Gujarat
ORD00296,C0352,2023-07-08,Delivered,COD,Noida,Uttar Pradesh
ORD00297,C0902,2022-05-02,Delivered,UPI,Nashik,Maharashtra
ORD00298,C0471,2022-02-06,Delivered,Credit Card,Kota,Rajasthan
ORD00299,C0504,2023-03-18,Delivered,Debit Card,Kanpur,Uttar Pradesh
ORD00300,C0583,2023-11-23,Delivered,Credit Card,Ahmedabad,Gujarat
ORD00301,C0482,2023-05-03,Delivered,UPI,Khammam,Telangana
ORD00302,C0270,2023-05-22,Delivered,Credit Card,Nashik,Maharashtra
ORD00303,C0329,2022-03-04,Delivered,UPI,Durgapur,West Bengal
ORD00304,C0829,2023-08-21,Delivered,Net Banking,Durgapur,West Bengal
ORD00305,C0100,2023-03-15,Delivered,Credit Card,Asansol,West Bengal
ORD00306,C0678,2022-09-08,Delivered,Debit Card,Kolkata,West Bengal
ORD00307,C0933,2023-12-06,Delivered,UPI,Bhopal,Madhya Pradesh
ORD00308,C0021,2023-07-06,Delivered,Credit Card,Howrah,West Bengal
ORD00309,C0528,2023-03-08,Delivered,Debit Card,Ajmer,Rajasthan
ORD00310,C0325,2023-01-22,Delivered,UPI,Bhopal,Madhya Pradesh
ORD00311,C0103,2023-12-09,Delivered,UPI,Hubballi,Karnataka
ORD00312,C0171,2023-09-22,Delivered,COD,Nizamabad,Telangana
ORD00313,C0651,2022-03-19,Cancelled,Credit Card,Janakpuri,Delhi
ORD00314,C0049,2022-11-01,Pending,Credit Card,Agra,Uttar Pradesh
ORD00315,C0761,2022-04-05,Returned,Credit Card,Saket,Delhi
ORD00316,C0280,2022-03-10,Delivered,Credit Card,Gwalior,Madhya Pradesh
ORD00317,C0356,2022-03-20,Delivered,UPI,Jodhpur,Rajasthan
ORD00318,C0680,2023-07-07,Delivered,Credit Card,Varanasi,Uttar Pradesh
ORD00319,C0528,2023-04-10,Delivered,Credit Card,Noida,Uttar Pradesh
ORD00320,C0884,2022-07-11,Delivered,UPI,Aurangabad,Maharashtra
ORD00321,C0960,2023-10-16,Delivered,Debit Card,Vadodara,Gujarat
ORD00322,C0745,2023-10-04,Delivered,UPI,Ajmer,Rajasthan
ORD00323,C0247,2022-06-04,Returned,Debit Card,Surat,Gujarat
ORD00324,C0327,2022-03-07,Delivered,Net Banking,Kota,Rajasthan
ORD00325,C0662,2022-06-14,Delivered,Debit Card,Agra,Uttar Pradesh
ORD00326,C0117,2022-06-03,Delivered,UPI,Jodhpur,Rajasthan
ORD00327,C0498,2023-07-28,Pending,Credit Card,Varanasi,Uttar Pradesh
ORD00328,C0164,2022-10-07,Delivered,UPI,Pune,Maharashtra
ORD00329,C0181,2023-10-22,Cancelled,COD,Noida,Uttar Pradesh
ORD00330,C0057,2022-03-27,Delivered,UPI,Ahmedabad,Gujarat
ORD00331,C0919,2023-01-08,Delivered,Net Banking,Hubballi,Karnataka
ORD00332,C0242,2022-04-25,Delivered,Credit Card,Jodhpur,Rajasthan
ORD00333,C0681,2023-08-18,Pending,COD,Belagavi,Karnataka
ORD00334,C0906,2022-04-03,Delivered,UPI,Varanasi,Uttar Pradesh
ORD00335,C0853,2023-08-22,Returned,Net Banking,Durgapur,West Bengal
ORD00336,C0224,2022-05-28,Delivered,UPI,Janakpuri,Delhi
ORD00337,C0419,2022-09-18,Cancelled,UPI,Varanasi,Uttar Pradesh
ORD00338,C0717,2022-04-26,Delivered,Credit Card,Nizamabad,Telangana
ORD00339,C0901,2022-05-29,Delivered,Debit Card,Rohini,Delhi
ORD00340,C0661,2023-09-13,Delivered,Debit Card,Lucknow,Uttar Pradesh
ORD00341,C0260,2023-07-20,Delivered,Debit Card,Pune,Maharashtra
ORD00342,C0548,2022-08-31,Cancelled,Credit Card,Kolkata,West Bengal
ORD00343,C0309,2022-04-03,Pending,Debit Card,Udaipur,Rajasthan
ORD00344,C0881,2022-06-14,Pending,Debit Card,Kanpur,Uttar Pradesh
ORD00345,C0281,2022-03-24,Cancelled,COD,Jaipur,Rajasthan
ORD00346,C0949,2022-12-07,Returned,Net Banking,Rajkot,Gujarat
ORD00347,C0716,2022-09-25,Delivered,Credit Card,Mysuru,Karnataka
ORD00348,C0756,2022-12-01,Delivered,UPI,Ujjain,Madhya Pradesh
