order_id,customer_id,order_date,status,payment_method,shipping_city,shipping_state,order_year,order_month,order_quarter,order_weekday,order_week_number
ORD00028,C0642,2022-07-05,Delivered,UPI,Vadodara,Gujarat,2022,7,Q3,Tuesday,27
ORD00029,C0638,2022-09-17,Delivered,Credit Card,New Delhi,Delhi,2022,9,Q3,Saturday,37
ORD00030,C0827,2022-01-06,Delivered,Credit Card,Gandhinagar,Gujarat,2022,1,Q1,Thursday,1
ORD00031,C0676,2023-05-03,Delivered,Credit Card,Saket,Delhi,2023,5,Q2,Wednesday,18
ORD00032,C0007,2022-09-08,Cancelled,UPI,Ujjain,Madhya Pradesh,2022,9,Q3,Thursday,36
ORD00033,C0051,2022-07-09,Delivered,Debit Card,Warangal,Telangana,2022,7,Q3,Saturday,27
ORD00034,C0875,2022-02-03,Delivered,Net Banking,Pune,Maharashtra,2022,2,Q1,Thursday,5
ORD00035,C0943,2022-03-31,Delivered,Credit Card,Agra,Uttar Pradesh,2022,3,Q1,Thursday,13
ORD00036,C0689,2022-10-19,Delivered,Debit Card,Coimbatore,Tamil Nadu,2022,10,Q4,Wednesday,42
ORD00037,C0807,2023-07-30,Delivered,Credit Card,Ujjain,Madhya Pradesh,2023,7,Q3,Sunday,30
ORD00038,C0954,2022-02-06,Delivered,UPI,Gwalior,Madhya Pradesh,2022,2,Q1,Sunday,5
ORD00039,C0840,2022-03-11,Returned,Net Banking,Asansol,West Bengal,2022,3,Q1,Friday,10
ORD00040,C0483,2022-05-18,Delivered,Net Banking,Mangaluru,Karnataka,2022,5,Q2,Wednesday,20
ORD00041,C0424,2023-06-22,Delivered,UPI,Siliguri,West Bengal,2023,6,Q2,Thursday,25
ORD00042,C0586,2023-10-07,Delivered,UPI,Mumbai,Maharashtra,2023,10,Q4,Saturday,40
ORD00043,C0438,2023-09-16,Cancelled,UPI,Gwalior,Madhya Pradesh,2023,9,Q3,Saturday,37
ORD00044,C0363,2022-05-13,Delivered,Credit Card,Ujjain,Madhya Pradesh,2022,5,Q2,Friday,19
ORD00045,C0828,2022-07-04,Cancelled,UPI,Rajkot,Gujarat,2022,7,Q3,Monday,27
ORD00046,C0002,2022-05-02,Delivered,Debit Card,Kanpur,Uttar Pradesh,2022,5,Q2,Monday,18
ORD00047,C0819,2023-09-23,Pending,Credit Card,Mysuru,Karnataka,2023,9,Q3,Saturday,38
ORD00048,C0574,2023-10-15,Delivered,Debit Card,Durgapur,West Bengal,2023,10,Q4,Sunday,41
ORD00049,C0810,2022-03-11,Delivered,Credit Card,Agra,Uttar Pradesh,2022,3,Q1,Friday,10
ORD00050,C0117,2023-12-04,Delivered,Credit Card,Kolkata,West Bengal,2023,12,Q4,Monday,49
ORD00051,C0984,2022-01-30,Cancelled,UPI,Ujjain,Madhya Pradesh,2022,1,Q1,Sunday,4
ORD00052,C0939,2023-05-01,Returned,Debit Card,Asansol,West Bengal,2023,5,Q2,Monday,18
ORD00053,C0643,2023-04-17,Cancelled,Credit Card,Surat,Gujarat,2023,4,Q2,Monday,16
ORD00054,C0803,2023-02-28,Pending,UPI,Asansol,West Bengal,2023,2,Q1,Tuesday,9
ORD00055,C0579,2023-11-26,Delivered,Credit Card,Nizamabad,Telangana,2023,11,Q4,Sunday,47
ORD00056,C0702,2022-12-06,Returned,Net Banking,Saket,Delhi,2022,12,Q4,Tuesday,49
ORD00057,C0993,2022-06-02,Delivered,UPI,Kolkata,West Bengal,2022,6,Q2,Thursday,22
ORD00058,C0863,2022-06-19,Delivered,Credit Card,Ajmer,Rajasthan,2022,6,Q2,Sunday,24
ORD00059,C0886,2022-11-12,Returned,UPI,Bhopal,Madhya Pradesh,2022,11,Q4,Saturday,45
ORD00060,C0424,2022-03-30,Delivered,UPI,Nagpur,Maharashtra,2022,3,Q1,Wednesday,13
ORD00061,C0222,2023-06-22,Delivered,UPI,Vadodara,Gujarat,2023,6,Q2,Thursday,25
ORD00062,C0936,2022-04-05,Delivered,UPI,Pune,Maharashtra,2022,4,Q2,Tuesday,14
ORD00063,C0158,2022-07-14,Delivered,Credit Card,Gandhinagar,Gujarat,2022,7,Q3,Thursday,28
ORD00064,C0795,2022-12-02,Delivered,Net Banking,Nizamabad,Telangana,2022,12,Q4,Friday,48
ORD00065,C0211,2022-02-07,Delivered,Debit Card,Warangal,Telangana,2022,2,Q1,Monday,6
ORD00066,C0005,2022-11-15,Pending,Debit Card,Hyderabad,Telangana,2022,11,Q4,Tuesday,46
ORD00067,C0342,2023-04-24,Cancelled,UPI,Bhopal,Madhya Pradesh,2023,4,Q2,Monday,17
ORD00068,C0592,2022-11-16,Delivered,UPI,Lucknow,Uttar Pradesh,2022,11,Q4,Wednesday,46
ORD00069,C0294,2022-10-11,Delivered,Debit Card,Dwarka,Delhi,2022,10,Q4,Tuesday,41
ORD00070,C0153,2022-06-11,Delivered,UPI,Mangaluru,Karnataka,2022,6,Q2,Saturday,23
ORD00071,C0527,2022-04-15,Delivered,Credit Card,Ujjain,Madhya Pradesh,2022,4,Q2,Friday,15
ORD00072,C0145,2023-12-23,Cancelled,Credit Card,Durgapur,West Bengal,2023,12,Q4,Saturday,51
ORD00073,C0319,2023-09-20,Cancelled,Credit Card,Chennai,Tamil Nadu,2023,9,Q3,Wednesday,38
ORD00074,C0030,2023-04-28,Pending,UPI,Pune,Maharashtra,2023,4,Q2,Friday,17
ORD00075,C0089,2023-03-13,Delivered,Debit Card,Jaipur,Rajasthan,2023,3,Q1,Monday,11
ORD00076,C0632,2022-12-31,Delivered,Net Banking,Jabalpur,Madhya Pradesh,2022,12,Q4,Saturday,52
ORD00077,C0998,2023-04-22,Delivered,UPI,Hyderabad,Telangana,2023,4,Q2,Saturday,16
ORD00078,C0467,2022-11-14,Delivered,Debit Card,Ahmedabad,Gujarat,2022,11,Q4,Monday,46
ORD00079,C0238,2022-08-18,Delivered,Net Banking,Rajkot,Gujarat,2022,8,Q3,Thursday,33
ORD00080,C0402,2022-07-07,Delivered,Debit Card,Agra,Uttar Pradesh,2022,7,Q3,Thursday,27
ORD00081,C0500,2022-01-31,Delivered,UPI,Asansol,West Bengal,2022,1,Q1,Monday,5
ORD00082,C0867,2022-06-24,Delivered,UPI,Rajkot,Gujarat,2022,6,Q2,Friday,25
ORD00083,C0521,2022-04-16,Delivered,Debit Card,Indore,Madhya Pradesh,2022,4,Q2,Saturday,15
ORD00084,C0570,2023-10-28,Delivered,UPI,Mangaluru,Karnataka,2023,10,Q4,Saturday,43
ORD00085,C0605,2023-02-28,Delivered,UPI,Rajkot,Gujarat,2023,2,Q1,Tuesday,9
ORD00086,C0394,2022-03-09,Delivered,Net Banking,Salem,Tamil Nadu,2022,3,Q1,Wednesday,10
ORD00087,C0804,2023-03-22,Delivered,UPI,Jabalpur,Madhya Pradesh,2023,3,Q1,Wednesday,12
ORD00088,C0679,2023-11-17,Delivered,COD,Dwarka,Delhi,2023,11,Q4,Friday,46
ORD00089,C0118,2023-08-30,Delivered,UPI,Jabalpur,Madhya Pradesh,2023,8,Q3,Wednesday,35
ORD00090,C0181,2022-11-12,Pending,UPI,Hubballi,Karnataka,2022,11,Q4,Saturday,45
ORD00091,C0790,2023-01-24,Delivered,Debit Card,Belagavi,Karnataka,2023,1,Q1,Tuesday,4
ORD00092,C0223,2022-05-23,Cancelled,COD,Mumbai,Maharashtra,2022,5,Q2,Monday,21
ORD00093,C0677,2022-06-02,Delivered,UPI,Pune,Maharashtra,2022,6,Q2,Thursday,22
ORD00094,C0458,2022-07-20,Delivered,Net Banking,Ujjain,Madhya Pradesh,2022,7,Q3,Wednesday,29
ORD00095,C0814,2023-11-27,Delivered,COD,Noida,Uttar Pradesh,2023,11,Q4,Monday,48
ORD00096,C0092,2023-08-20,Delivered,COD,Udaipur,Rajasthan,2023,8,Q3,Sunday,33
ORD00097,C0873,2022-10-29,Delivered,COD,Jodhpur,Rajasthan,2022,10,Q4,Saturday,43
ORD00098,C0721,2023-07-28,Cancelled,Credit Card,Mumbai,Maharashtra,2023,7,Q3,Friday,30
ORD00099,C0241,2023-03-19,Returned,Credit Card,Lucknow,Uttar Pradesh,2023,3,Q1,Sunday,11
ORD00100,C0416,2023-01-26,Delivered,UPI,Asansol,West Bengal,2023,1,Q1,Thursday,4
ORD00101,C0143,2022-07-12,Delivered,Net Banking,Salem,Tamil Nadu,2022,7,Q3,Tuesday,28
ORD00102,C0158,2022-10-23,Pending,Debit Card,Asansol,West Bengal,2022,10,Q4,Sunday,42
ORD00103,C0074,2023-10-26,Delivered,Debit Card,Chennai,Tamil Nadu,2023,10,Q4,Thursday,43
ORD00104,C0999,2022-05-20,Delivered,Debit Card,Rajkot,Gujarat,2022,5,Q2,Friday,20
ORD00105,C0916,2023-12-14,Delivered,Credit Card,Kota,Rajasthan,2023,12,Q4,Thursday,50
ORD00106,C0522,2023-03-11,Delivered,Credit Card,Salem,Tamil Nadu,2023,3,Q1,Saturday,10
ORD00107,C0191,2023-03-11,Delivered,Credit Card,Howrah,West Bengal,2023,3,Q1,Saturday,10
ORD00108,C0276,2023-02-25,Pending,Credit Card,Saket,Delhi,2023,2,Q1,Saturday,8
ORD00109,C0582,2023-05-10,Returned,UPI,Mumbai,Maharashtra,2023,5,Q2,Wednesday,19
ORD00110,C0146,2023-06-24,Pending,COD,Ahmedabad,Gujarat,2023,6,Q2,Saturday,25
ORD00111,C0530,2022-03-22,Delivered,Debit Card,Varanasi,Uttar Pradesh,2022,3,Q1,Tuesday,12
ORD00112,C0646,2023-11-11,Pending,UPI,Janakpuri,Delhi,2023,11,Q4,Saturday,45
ORD00113,C0320,2023-09-20,Delivered,UPI,Khammam,Telangana,2023,9,Q3,Wednesday,38
ORD00114,C0465,2023-06-09,Pending,Credit Card,Nashik,Maharashtra,2023,6,Q2,Friday,23
ORD00115,C0362,2022-10-29,Delivered,UPI,Asansol,West Bengal,2022,10,Q4,Saturday,43
ORD00116,C0745,2023-08-01,Delivered,Debit Card,Gwalior,Madhya Pradesh,2023,8,Q3,Tuesday,31
ORD00117,C0587,2022-02-22,Delivered,UPI,Indore,Madhya Pradesh,2022,2,Q1,Tuesday,8
ORD00118,C0294,2023-05-12,Delivered,Credit Card,Bhopal,Madhya Pradesh,2023,5,Q2,Friday,19
ORD00119,C0136,2023-09-23,Delivered,Net Banking,Agra,Uttar Pradesh,2023,9,Q3,Saturday,38
ORD00120,C0619,2022-06-28,Pending,Debit Card,Mumbai,Maharashtra,2022,6,Q2,Tuesday,26
ORD00121,C0828,2022-06-29,Delivered,Debit Card,Vadodara,Gujarat,2022,6,Q2,Wednesday,26
ORD00122,C0819,2023-06-25,Cancelled,UPI,Surat,Gujarat,2023,6,Q2,Sunday,25
ORD00123,C0610,2022-06-07,Cancelled,Debit Card,Mysuru,Karnataka,2022,6,Q2,Tuesday,23
ORD00124,C0244,2023-11-08,Delivered,Debit Card,Kota,Rajasthan,2023,11,Q4,Wednesday,45
ORD00125,C0752,2022-12-20,Delivered,UPI,Saket,Delhi,2022,12,Q4,Tuesday,51
ORD00126,C0172,2023-04-21,Delivered,UPI,Bengaluru,Karnataka,2023,4,Q2,Friday,16
ORD00127,C0389,2023-12-01,Returned,Credit Card,Warangal,Telangana,2023,12,Q4,Friday,48
ORD00128,C0892,2023-03-22,Delivered,COD,Tiruchirappalli,Tamil Nadu,2023,3,Q1,Wednesday,12
ORD00129,C0695,2022-11-20,Pending,Debit Card,Rajkot,Gujarat,2022,11,Q4,Sunday,46
ORD00130,C0940,2023-06-29,Delivered,COD,Mumbai,Maharashtra,2023,6,Q2,Thursday,26
ORD00131,C0941,2023-10-30,Cancelled,UPI,Ajmer,Rajasthan,2023,10,Q4,Monday,44
ORD00132,C0262,2023-11-02,Delivered,Credit Card,Lucknow,Uttar Pradesh,2023,11,Q4,Thursday,44
ORD00133,C0789,2022-07-19,Delivered,Debit Card,Saket,Delhi,2022,7,Q3,Tuesday,29
ORD00134,C0561,2022-01-11,Delivered,Net Banking,Madurai,Tamil Nadu,2022,1,Q1,Tuesday,2
ORD00135,C0101,2023-06-22,Delivered,Credit Card,Nashik,Maharashtra,2023,6,Q2,Thursday,25
ORD00136,C0258,2022-07-17,Delivered,Debit Card,Rohini,Delhi,2022,7,Q3,Sunday,28
ORD00137,C0673,2022-08-11,Pending,Debit Card,Aurangabad,Maharashtra,2022,8,Q3,Thursday,32
ORD00138,C0877,2023-09-12,Delivered,Debit Card,Bengaluru,Karnataka,2023,9,Q3,Tuesday,37
ORD00139,C0918,2022-04-24,Delivered,UPI,Indore,Madhya Pradesh,2022,4,Q2,Sunday,16
ORD00140,C0655,2023-04-10,Pending,UPI,Ahmedabad,Gujarat,2023,4,Q2,Monday,15
ORD00141,C0264,2022-06-15,Returned,UPI,Udaipur,Rajasthan,2022,6,Q2,Wednesday,24
ORD00142,C0398,2022-12-07,Pending,UPI,Nashik,Maharashtra,2022,12,Q4,Wednesday,49
ORD00143,C0452,2022-03-13,Delivered,COD,Kanpur,Uttar Pradesh,2022,3,Q1,Sunday,10
ORD00144,C0183,2023-10-23,Delivered,UPI,Jabalpur,Madhya Pradesh,2023,10,Q4,Monday,43
ORD00145,C0629,2023-10-21,Delivered,Credit Card,Jodhpur,Rajasthan,2023,10,Q4,Saturday,42
ORD00146,C0036,2022-03-16,Delivered,Debit Card,Lucknow,Uttar Pradesh,2022,3,Q1,Wednesday,11
ORD00147,C0919,2023-05-25,Delivered,Debit Card,Ahmedabad,Gujarat,2023,5,Q2,Thursday,21
ORD00148,C0273,2022-06-05,Returned,COD,Nashik,Maharashtra,2022,6,Q2,Sunday,22
ORD00149,C0528,2023-12-26,Pending,Credit Card,Bhopal,Madhya Pradesh,2023,12,Q4,Tuesday,52
ORD00150,C0865,2022-03-13,Delivered,UPI,Kota,Rajasthan,2022,3,Q1,Sunday,10
ORD00151,C0581,2023-07-03,Pending,Credit Card,Ahmedabad,Gujarat,2023,7,Q3,Monday,27
ORD00152,C0057,2023-10-10,Pending,Debit Card,Varanasi,Uttar Pradesh,2023,10,Q4,Tuesday,41
ORD00153,C0874,2022-12-15,Delivered,Credit Card,Siliguri,West Bengal,2022,12,Q4,Thursday,50
ORD00154,C0181,2023-07-22,Delivered,Credit Card,Kanpur,Uttar Pradesh,2023,7,Q3,Saturday,29
ORD00155,C0713,2023-02-04,Cancelled,Debit Card,Rohini,Delhi,2023,2,Q1,Saturday,5
ORD00156,C0087,2023-10-10,Delivered,UPI,Asansol,West Bengal,2023,10,Q4,Tuesday,41
ORD00157,C0026,2023-08-31,Delivered,Credit Card,Pune,Maharashtra,2023,8,Q3,Thursday,35
ORD00158,C0512,2023-07-01,Pending,Net Banking,Nizamabad,Telangana,2023,7,Q3,Saturday,26
ORD00159,C0348,2022-02-27,Delivered,Debit Card,Mumbai,Maharashtra,2022,2,Q1,Sunday,8
ORD00160,C0217,2023-11-01,Delivered,Credit Card,Jaipur,Rajasthan,2023,11,Q4,Wednesday,44
ORD00161,C0759,2023-08-17,Delivered,UPI,Warangal,Telangana,2023,8,Q3,Thursday,33
ORD00162,C0670,2022-01-20,Delivered,COD,Salem,Tamil Nadu,2022,1,Q1,Thursday,3
ORD00163,C0719,2023-10-27,Delivered,UPI,Pune,Maharashtra,2023,10,Q4,Friday,43
ORD00164,C0841,2022-04-10,Delivered,UPI,Nagpur,Maharashtra,2022,4,Q2,Sunday,14
ORD00165,C0838,2022-04-19,Delivered,Credit Card,Bhopal,Madhya Pradesh,2022,4,Q2,Tuesday,16
ORD00166,C0065,2022-07-27,Delivered,Net Banking,Indore,Madhya Pradesh,2022,7,Q3,Wednesday,30
ORD00167,C0124,2023-12-02,Delivered,UPI,Udaipur,Rajasthan,2023,12,Q4,Saturday,48
ORD00168,C0608,2022-06-27,Delivered,UPI,New Delhi,Delhi,2022,6,Q2,Monday,26
ORD00169,C0173,2023-12-15,Delivered,UPI,Salem,Tamil Nadu,2023,12,Q4,Friday,50
ORD00170,C0042,2022-05-17,Delivered,Net Banking,Saket,Delhi,2022,5,Q2,Tuesday,20
ORD00171,C0797,2022-06-11,Delivered,Credit Card,Jabalpur,Madhya Pradesh,2022,6,Q2,Saturday,23
ORD00172,C0184,2022-04-02,Returned,Credit Card,Mumbai,Maharashtra,2022,4,Q2,Saturday,13
ORD00173,C0711,2023-05-03,Delivered,UPI,Varanasi,Uttar Pradesh,2023,5,Q2,Wednesday,18
ORD00174,C0462,2023-02-26,Delivered,UPI,Noida,Uttar Pradesh,2023,2,Q1,Sunday,8
ORD00175,C0185,2023-05-27,Delivered,UPI,Aurangabad,Maharashtra,2023,5,Q2,Saturday,21
ORD00176,C0429,2022-01-05,Delivered,UPI,Agra,Uttar Pradesh,2022,1,Q1,Wednesday,1
ORD00177,C0634,2023-01-06,Cancelled,COD,Hyderabad,Telangana,2023,1,Q1,Friday,1
ORD00178,C0476,2023-10-04,Delivered,UPI,Warangal,Telangana,2023,10,Q4,Wednesday,40
ORD00179,C0816,2022-06-02,Delivered,COD,New Delhi,Delhi,2022,6,Q2,Thursday,22
ORD00180,C0181,2022-06-13,Delivered,UPI,Rajkot,Gujarat,2022,6,Q2,Monday,24
ORD00181,C0215,2023-03-22,Delivered,Debit Card,Durgapur,West Bengal,2023,3,Q1,Wednesday,12
ORD00182,C0107,2022-02-23,Pending,UPI,Ahmedabad,Gujarat,2022,2,Q1,Wednesday,8
ORD00183,C0528,2022-04-29,Delivered,UPI,Nashik,Maharashtra,2022,4,Q2,Friday,17
ORD00184,C0594,2022-11-30,Delivered,Debit Card,Gandhinagar,Gujarat,2022,11,Q4,Wednesday,48
ORD00185,C0798,2022-04-23,Delivered,UPI,Howrah,West Bengal,2022,4,Q2,Saturday,16
ORD00186,C0385,2022-08-14,Delivered,Credit Card,Jodhpur,Rajasthan,2022,8,Q3,Sunday,32
ORD00187,C0149,2022-08-10,Pending,Credit Card,Nashik,Maharashtra,2022,8,Q3,Wednesday,32
ORD00188,C0140,2023-04-14,Returned,Debit Card,Udaipur,Rajasthan,2023,4,Q2,Friday,15
ORD00189,C0344,2022-05-11,Delivered,Credit Card,Kanpur,Uttar Pradesh,2022,5,Q2,Wednesday,19
ORD00190,C0114,2023-04-22,Delivered,UPI,Kanpur,Uttar Pradesh,2023,4,Q2,Saturday,16
ORD00191,C0908,2022-10-30,Delivered,Debit Card,Howrah,West Bengal,2022,10,Q4,Sunday,43
ORD00192,C0592,2023-07-21,Cancelled,UPI,Indore,Madhya Pradesh,2023,7,Q3,Friday,29
ORD00193,C0883,2022-08-10,Delivered,Net Banking,Karimnagar,Telangana,2022,8,Q3,Wednesday,32
ORD00194,C0748,2023-03-15,Returned,UPI,Lucknow,Uttar Pradesh,2023,3,Q1,Wednesday,11
ORD00195,C0594,2022-08-16,Cancelled,Credit Card,Asansol,West Bengal,2022,8,Q3,Tuesday,33
ORD00196,C0920,2022-01-06,Delivered,UPI,Tiruchirappalli,Tamil Nadu,2022,1,Q1,Thursday,1
ORD00197,C0035,2023-03-12,Delivered,Credit Card,Gandhinagar,Gujarat,2023,3,Q1,Sunday,10
ORD00198,C0508,2022-09-04,Delivered,Debit Card,Hubballi,Karnataka,2022,9,Q3,Sunday,35
ORD00199,C0136,2023-01-03,Delivered,Debit Card,Jodhpur,Rajasthan,2023,1,Q1,Tuesday,1
ORD00200,C0492,2023-11-17,Delivered,Debit Card,Bengaluru,Karnataka,2023,11,Q4,Friday,46
ORD00201,C0025,2023-04-11,Delivered,UPI,Ujjain,Madhya Pradesh,2023,4,Q2,Tuesday,15
ORD00202,C0809,2023-01-15,Delivered,Debit Card,Jodhpur,Rajasthan,2023,1,Q1,Sunday,2
ORD00203,C0395,2023-12-09,Delivered,UPI,Mumbai,Maharashtra,2023,12,Q4,Saturday,49
ORD00204,C0715,2023-09-20,Delivered,Debit Card,Udaipur,Rajasthan,2023,9,Q3,Wednesday,38
ORD00205,C0902,2022-12-10,Returned,UPI,Belagavi,Karnataka,2022,12,Q4,Saturday,49
ORD00206,C0114,2023-01-28,Delivered,Debit Card,Kolkata,West Bengal,2023,1,Q1,Saturday,4
ORD00207,C0180,2023-10-26,Delivered,UPI,Durgapur,West Bengal,2023,10,Q4,Thursday,43
ORD00208,C0343,2022-09-02,Delivered,Debit Card,Dwarka,Delhi,2022,9,Q3,Friday,35
ORD00209,C0772,2022-08-19,Delivered,Net Banking,Indore,Madhya Pradesh,2022,8,Q3,Friday,33
ORD00210,C0284,2022-02-25,Delivered,UPI,Karimnagar,Telangana,2022,2,Q1,Friday,8
ORD00211,C0540,2022-05-06,Delivered,Credit Card,Gandhinagar,Gujarat,2022,5,Q2,Friday,18
ORD00212,C0463,2023-09-28,Delivered,Debit Card,Nizamabad,Telangana,2023,9,Q3,Thursday,39
ORD00213,C0914,2023-04-14,Delivered,Credit Card,Mysuru,Karnataka,2023,4,Q2,Friday,15
ORD00214,C0982,2022-03-20,Delivered,UPI,Madurai,Tamil Nadu,2022,3,Q1,Sunday,11
ORD00215,C0155,2022-07-29,Delivered,Debit Card,Salem,Tamil Nadu,2022,7,Q3,Friday,30
ORD00216,C0993,2023-11-30,Delivered,UPI,Varanasi,Uttar Pradesh,2023,11,Q4,Thursday,48
ORD00217,C0455,2023-10-23,Delivered,UPI,Asansol,West Bengal,2023,10,Q4,Monday,43
ORD00218,C0855,2023-06-17,Delivered,Credit Card,Pune,Maharashtra,2023,6,Q2,Saturday,24
ORD00219,C0498,2023-08-31,Delivered,Credit Card,Durgapur,West Bengal,2023,8,Q3,Thursday,35
ORD00220,C0469,2022-11-08,Delivered,Net Banking,Karimnagar,Telangana,2022,11,Q4,Tuesday,45
ORD00221,C0809,2022-09-24,Delivered,Credit Card,Kanpur,Uttar Pradesh,2022,9,Q3,Saturday,38
ORD00222,C0152,2022-12-28,Delivered,COD,Lucknow,Uttar Pradesh,2022,12,Q4,Wednesday,52
ORD00223,C0729,2023-07-03,Delivered,COD,Indore,Madhya Pradesh,2023,7,Q3,Monday,27
ORD00224,C0244,2022-04-30,Delivered,UPI,Coimbatore,Tamil Nadu,2022,4,Q2,Saturday,17
ORD00225,C0267,2023-01-14,Delivered,Credit Card,Salem,Tamil Nadu,2023,1,Q1,Saturday,2
ORD00226,C0353,2022-06-01,Delivered,Credit Card,Nagpur,Maharashtra,2022,6,Q2,Wednesday,22
ORD00227,C0309,2022-05-05,Pending,Credit Card,Tiruchirappalli,Tamil Nadu,2022,5,Q2,Thursday,18
ORD00228,C0971,2023-04-15,Pending,UPI,Surat,Gujarat,2023,4,Q2,Saturday,15
ORD00229,C0340,2023-10-25,Returned,Credit Card,Khammam,Telangana,2023,10,Q4,Wednesday,43
ORD00230,C0683,2022-05-31,Returned,Debit Card,Noida,Uttar Pradesh,2022,5,Q2,Tuesday,22
ORD00231,C0706,2022-04-26,Returned,COD,Vadodara,Gujarat,2022,4,Q2,Tuesday,17
ORD00232,C0120,2022-11-12,Delivered,Debit Card,Tiruchirappalli,Tamil Nadu,2022,11,Q4,Saturday,45
ORD00233,C0366,2022-04-05,Delivered,Debit Card,Janakpuri,Delhi,2022,4,Q2,Tuesday,14
ORD00234,C0540,2022-08-16,Returned,Debit Card,Saket,Delhi,2022,8,Q3,Tuesday,33
ORD00235,C0086,2023-07-06,Cancelled,Debit Card,New Delhi,Delhi,2023,7,Q3,Thursday,27
ORD00236,C0404,2022-07-19,Delivered,Debit Card,Belagavi,Karnataka,2022,7,Q3,Tuesday,29
ORD00237,C0931,2023-11-14,Delivered,UPI,Hyderabad,Telangana,2023,11,Q4,Tuesday,46
ORD00238,C0396,2023-01-17,Delivered,UPI,Udaipur,Rajasthan,2023,1,Q1,Tuesday,3
ORD00239,C0896,2023-07-29,Delivered,Debit Card,Varanasi,Uttar Pradesh,2023,7,Q3,Saturday,30
ORD00240,C0823,2023-03-30,Delivered,Net Banking,Rajkot,Gujarat,2023,3,Q1,Thursday,13
ORD00241,C0143,2023-08-25,Delivered,UPI,Kota,Rajasthan,2023,8,Q3,Friday,34
ORD00242,C0889,2023-06-22,Pending,UPI,Varanasi,Uttar Pradesh,2023,6,Q2,Thursday,25
ORD00243,C0091,2022-01-07,Delivered,COD,Jabalpur,Madhya Pradesh,2022,1,Q1,Friday,1
ORD00244,C0570,2023-04-19,Returned,Debit Card,Jodhpur,Rajasthan,2023,4,Q2,Wednesday,16
ORD00245,C0191,2023-01-26,Delivered,Credit Card,Coimbatore,Tamil Nadu,2023,1,Q1,Thursday,4
ORD00246,C0312,2023-05-21,Delivered,Credit Card,Noida,Uttar Pradesh,2023,5,Q2,Sunday,20
ORD00247,C0158,2022-09-26,Delivered,Debit Card,Mumbai,Maharashtra,2022,9,Q3,Monday,39
